[t=0] total_CO2=0, total_ABS_CO2=0, fitness=nan
[t=3000] total_CO2=205.89, total_ABS_CO2=0.00834699, fitness=4.0541e-05
[t=4000] total_CO2=1488.56, total_ABS_CO2=11.6976, fitness=0.00785832
[t=3000] total_CO2=413.858, total_ABS_CO2=0.00976376, fitness=2.3592e-05
[t=4000] total_CO2=380.267, total_ABS_CO2=4.17188, fitness=0.0109709
[t=4000] total_CO2=775.494, total_ABS_CO2=6.73747, fitness=0.00868797
[UNSTABLE] tau = 100, rho = 2.68757 fitness = 0 (due to numerical instability)
[UNSTABLE] tau = 100, rho = 2.08013 fitness = 0 (due to numerical instability)
[UNSTABLE] tau = 100, rho = 2.36407 fitness = 0 (due to numerical instability)
[UNSTABLE] tau = 100, rho = 2.82161 fitness = 0 (due to numerical instability)
[UNSTABLE] tau = 100, rho = 2.335 fitness = 0 (due to numerical instability)
[t=0] total_CO2=0, total_ABS_CO2=0, fitness=nan
[t=1000] total_CO2=89.0319, total_ABS_CO2=0, fitness=0
[t=2000] total_CO2=619.759, total_ABS_CO2=0, fitness=0
[t=3000] total_CO2=1706.73, total_ABS_CO2=0.020743, fitness=1.21536e-05
[t=0] total_CO2=0, total_ABS_CO2=0, fitness=nan
[t=4000] total_CO2=3379.65, total_ABS_CO2=24.0301, fitness=0.00711024
[t=1000] total_CO2=50.4365, total_ABS_CO2=0, fitness=0
[t=0] total_CO2=0, total_ABS_CO2=0, fitness=nan
[t=0] total_CO2=0, total_ABS_CO2=0, fitness=nan
[t=0] total_CO2=0, total_ABS_CO2=0, fitness=nan
[t=2000] total_CO2=330.721, total_ABS_CO2=0, fitness=0
[t=1000] total_CO2=13.4808, total_ABS_CO2=0, fitness=0
[t=1000] total_CO2=81.308, total_ABS_CO2=0, fitness=0
[t=1000] total_CO2=87.2294, total_ABS_CO2=0, fitness=0
[t=3000] total_CO2=868.377, total_ABS_CO2=0.0128764, fitness=1.48282e-05
[t=2000] total_CO2=81.711, total_ABS_CO2=0, fitness=0
[t=2000] total_CO2=562.504, total_ABS_CO2=0, fitness=0
[t=2000] total_CO2=606.596, total_ABS_CO2=0, fitness=0
[t=4000] total_CO2=1659.32, total_ABS_CO2=12.886, fitness=0.00776586
[t=3000] total_CO2=205.89, total_ABS_CO2=0.00834699, fitness=4.0541e-05
[t=3000] total_CO2=1539.06, total_ABS_CO2=0.0187261, fitness=1.21672e-05
[t=3000] total_CO2=1668.49, total_ABS_CO2=0.0202574, fitness=1.21412e-05
[t=4000] total_CO2=380.267, total_ABS_CO2=4.17188, fitness=0.0109709
[t=4000] total_CO2=3032.17, total_ABS_CO2=21.8866, fitness=0.00721812
[t=4000] total_CO2=3300.78, total_ABS_CO2=23.547, fitness=0.00713375
[UNSTABLE] tau = 100, rho = 2.32967 fitness = 0 (due to numerical instability)
[UNSTABLE] tau = 100, rho = 2.62064 fitness = 0 (due to numerical instability)
[UNSTABLE] tau = 100, rho = 3.39052 fitness = 0 (due to numerical instability)
[UNSTABLE] tau = 100, rho = 2.25575 fitness = 0 (due to numerical instability)
[t=0] total_CO2=0, total_ABS_CO2=0, fitness=nan
[t=1000] total_CO2=13.4808, total_ABS_CO2=0, fitness=0
[t=2000] total_CO2=81.711, total_ABS_CO2=0, fitness=0
[t=3000] total_CO2=205.89, total_ABS_CO2=0.00834699, fitness=4.0541e-05
[t=4000] total_CO2=380.267, total_ABS_CO2=4.17188, fitness=0.0109709
[t=0] total_CO2=0, total_ABS_CO2=0, fitness=nan
[t=1000] total_CO2=70.1553, total_ABS_CO2=0, fitness=0
[t=2000] total_CO2=478.365, total_ABS_CO2=0, fitness=0
[t=3000] total_CO2=1291.21, total_ABS_CO2=0.0162369, fitness=1.25749e-05
[t=4000] total_CO2=2517.09, total_ABS_CO2=18.6305, fitness=0.00740162
[t=0] total_CO2=0, total_ABS_CO2=0, fitness=nan
[t=0] total_CO2=0, total_ABS_CO2=0, fitness=nan
[t=0] total_CO2=0, total_ABS_CO2=0, fitness=nan
[t=1000] total_CO2=13.4808, total_ABS_CO2=0, fitness=0
[t=1000] total_CO2=75.1773, total_ABS_CO2=0, fitness=0
[t=1000] total_CO2=78.6909, total_ABS_CO2=0, fitness=0
[t=2000] total_CO2=81.711, total_ABS_CO2=0, fitness=0
[t=0] total_CO2=0, total_ABS_CO2=0, fitness=nan
[t=2000] total_CO2=542.84, total_ABS_CO2=0, fitness=0
[t=2000] total_CO2=516.345, total_ABS_CO2=0, fitness=0
[t=3000] total_CO2=205.89, total_ABS_CO2=0.00834699, fitness=4.0541e-05
[t=1000] total_CO2=78.3408, total_ABS_CO2=0, fitness=0
[t=3000] total_CO2=1481.07, total_ABS_CO2=0.0180956, fitness=1.22179e-05
[t=3000] total_CO2=1402.92, total_ABS_CO2=0.0172949, fitness=1.23278e-05
[t=4000] total_CO2=380.267, total_ABS_CO2=4.17188, fitness=0.0109709
[t=2000] total_CO2=540.204, total_ABS_CO2=0, fitness=0
[t=4000] total_CO2=2748.83, total_ABS_CO2=20.1102, fitness=0.00731594
[t=4000] total_CO2=2911.47, total_ABS_CO2=21.1337, fitness=0.00725875
[t=3000] total_CO2=1473.29, total_ABS_CO2=0.0180135, fitness=1.22267e-05
[t=4000] total_CO2=2895.28, total_ABS_CO2=21.0323, fitness=0.00726432
[UNSTABLE] tau = 100, rho = 2.2765 fitness = 0 (due to numerical instability)
[UNSTABLE] tau = 100, rho = 3.06996 fitness = 0 (due to numerical instability)
